epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.04,1.28674,3.60912,1.21378,0.43592,0.65304,0.59558,0.48266,0.73952,2.39939,0.97821,6.666e-05,6.666e-05,6.666e-05
2,195.47,0.88341,1.77904,1.03401,0.70362,0.86635,0.83718,0.70123,0.69388,2.03642,0.89538,0.000142047,0.000142047,0.000142047
3,293.297,0.90577,1.24285,1.04964,0.89496,0.8559,0.93263,0.6969,0.94453,1.60881,1.01285,0.000214867,0.000214867,0.000214867
4,389.784,0.84727,1.09679,0.9916,0.92876,0.92709,0.94533,0.70925,0.90607,1.32226,0.99079,0.000285121,0.000285121,0.000285121
5,481.862,0.78528,0.90355,0.96757,0.90925,0.95568,0.97567,0.74917,0.89268,1.21499,1.05864,0.000352809,0.000352809,0.000352809
6,573.919,0.89655,0.81247,1.03691,0.98224,0.93407,0.995,0.77501,0.865,0.97791,1.10293,0.00041793,0.00041793,0.00041793
7,666.268,0.79273,0.76499,0.98654,0.90884,0.88583,0.97557,0.74956,0.88293,1.00506,1.15053,0.000480485,0.000480485,0.000480485
8,758.73,0.87202,0.76844,1.0431,0.8679,0.89467,0.96579,0.7419,0.91197,1.05858,1.20658,0.000540474,0.000540474,0.000540474
9,851.723,0.83918,0.7278,1.02642,0.89423,0.94209,0.96833,0.76331,0.83883,0.88842,1.06743,0.000597896,0.000597896,0.000597896
10,944.946,0.81216,0.67435,1.00484,0.96962,1,0.995,0.75712,0.86475,0.83479,1.12729,0.000652751,0.000652751,0.000652751
11,1039.11,0.81729,0.59337,0.99916,0.93068,0.88144,0.967,0.733,0.9031,0.95239,1.14296,0.000705041,0.000705041,0.000705041
12,1133.25,0.83024,0.64641,1.00525,0.83844,0.8988,0.90393,0.68939,0.88796,1.12189,1.11076,0.000754763,0.000754763,0.000754763
13,1225.81,0.88905,0.61952,1.03178,0.8777,0.98973,0.98833,0.77844,0.82613,0.81398,1.07551,0.00080192,0.00080192,0.00080192
14,1323.74,0.88156,0.66264,1.07297,0.91336,0.93653,0.995,0.74367,0.93188,0.87873,1.12139,0.00084651,0.00084651,0.00084651
15,1413.89,0.81321,0.676,1.03248,0.97453,1,0.995,0.8258,0.76967,0.7376,1.03484,0.000854359,0.000854359,0.000854359
16,1495.98,0.88867,0.57913,1.07967,0.9173,0.89277,0.95183,0.76653,0.77917,0.82539,1.07882,0.000836027,0.000836027,0.000836027
17,1578.14,0.79203,0.599,1.00152,0.83179,0.97097,0.96567,0.79215,0.72152,0.70794,1.03267,0.000817696,0.000817696,0.000817696
18,1660.45,0.80538,0.56722,1.01299,0.90859,0.89548,0.90096,0.72195,0.81199,0.8736,1.08261,0.000799365,0.000799365,0.000799365
19,1743.56,0.78983,0.53272,1.00888,0.88835,0.92667,0.94712,0.72167,0.84288,0.7593,1.14639,0.000781033,0.000781033,0.000781033
20,1826.74,0.78193,0.54339,1.01572,0.8934,0.90275,0.97671,0.78588,0.82981,0.79398,1.08908,0.000762702,0.000762702,0.000762702
21,1908.87,0.78487,0.55196,0.99136,0.84724,0.90816,0.96849,0.75238,0.85467,0.8363,1.11754,0.00074437,0.00074437,0.00074437
22,1991.8,0.79383,0.57474,1.02593,0.89642,0.92314,0.96468,0.77704,0.7604,0.79074,1.01091,0.000726038,0.000726038,0.000726038
23,2074.47,0.78439,0.56256,1.02041,0.91182,0.93537,0.987,0.79683,0.80263,0.64935,1.05264,0.000707707,0.000707707,0.000707707
24,2156.91,0.73026,0.48574,0.9869,0.98204,0.88612,0.99043,0.7834,0.83594,0.64822,1.09855,0.000689376,0.000689376,0.000689376
25,2255.9,0.73714,0.51812,0.99665,0.91812,0.86942,0.972,0.76516,0.87232,0.6961,1.11279,0.000671044,0.000671044,0.000671044
26,2348.27,0.72394,0.4911,0.99237,0.85964,0.93208,0.955,0.74826,0.82294,0.60787,1.09332,0.000652712,0.000652712,0.000652712
27,2437.04,0.77684,0.50913,1.02166,0.87989,0.94859,0.9242,0.74197,0.81463,0.58762,1.0646,0.000634381,0.000634381,0.000634381
28,2519.03,0.77137,0.47802,1.02318,0.94116,0.96,0.98833,0.79774,0.81786,0.507,1.07457,0.000616049,0.000616049,0.000616049
29,2600.8,0.71432,0.44759,0.97757,0.97861,0.96,0.98833,0.81964,0.74873,0.43466,1.03156,0.000597718,0.000597718,0.000597718
30,2682.42,0.72825,0.49594,0.98012,0.95059,1,0.995,0.81608,0.74845,0.42683,1.03381,0.000579386,0.000579386,0.000579386
31,2763.69,0.72968,0.49874,0.99453,0.95223,1,0.995,0.81652,0.73573,0.43582,1.02298,0.000561055,0.000561055,0.000561055
32,2844.99,0.73611,0.46791,0.98581,0.91386,0.96132,0.98557,0.83527,0.73166,0.53346,1.00324,0.000542723,0.000542723,0.000542723
33,2934.34,0.66368,0.40351,0.93547,0.9181,0.9339,0.98376,0.82505,0.74366,0.59857,1.01387,0.000524392,0.000524392,0.000524392
34,3028.25,0.67576,0.41922,0.95598,0.88924,0.96007,0.99043,0.80255,0.79171,0.57441,1.04497,0.00050606,0.00050606,0.00050606
35,3120.21,0.72191,0.45508,1.01442,0.9228,0.99466,0.995,0.80937,0.76119,0.44938,1.02833,0.000487729,0.000487729,0.000487729
36,3204.34,0.70764,0.47342,0.96917,0.9722,0.99457,0.995,0.81154,0.76267,0.41628,1.03925,0.000469397,0.000469397,0.000469397
37,3290.41,0.66278,0.43878,0.94835,0.97944,1,0.995,0.81632,0.76309,0.41839,1.04321,0.000451066,0.000451066,0.000451066
38,3375.81,0.66025,0.41011,0.96063,0.94023,1,0.985,0.81847,0.7353,0.41107,1.01904,0.000432734,0.000432734,0.000432734
39,3457.43,0.67645,0.43196,0.95875,0.9484,1,0.995,0.81499,0.75971,0.40196,1.02375,0.000414403,0.000414403,0.000414403
40,3538.63,0.61599,0.40601,0.9359,0.9232,0.96362,0.985,0.82318,0.74451,0.48514,1.00647,0.000396071,0.000396071,0.000396071
41,3620,0.62047,0.40871,0.93576,0.92212,0.96375,0.97043,0.82043,0.74069,0.5011,1.00231,0.00037774,0.00037774,0.00037774
42,3701.35,0.6482,0.41804,0.95038,0.94278,0.99513,0.985,0.8342,0.73995,0.38784,0.99695,0.000359409,0.000359409,0.000359409
43,3782.87,0.64335,0.4344,0.9782,0.93724,0.97283,0.995,0.83317,0.76054,0.37791,0.99662,0.000341077,0.000341077,0.000341077
44,3865.24,0.6379,0.41739,0.95322,0.89512,0.9917,0.995,0.84106,0.72653,0.38583,0.982,0.000322745,0.000322745,0.000322745
45,3947.56,0.58504,0.37846,0.95238,0.92063,1,0.995,0.83395,0.7038,0.37449,0.97362,0.000304414,0.000304414,0.000304414
46,4031.06,0.60955,0.38333,0.95346,0.952,1,0.995,0.81942,0.70058,0.35069,0.97931,0.000286083,0.000286083,0.000286083
47,4114.46,0.68324,0.4369,1.01812,0.96067,1,0.995,0.83915,0.69669,0.34468,0.98439,0.000267751,0.000267751,0.000267751
48,4198.34,0.56487,0.37378,0.92253,0.9698,1,0.995,0.84335,0.72067,0.35059,1.01016,0.00024942,0.00024942,0.00024942
49,4280.48,0.59524,0.36038,0.94984,0.97373,1,0.995,0.84255,0.71793,0.35352,1.01195,0.000231088,0.000231088,0.000231088
50,4361.33,0.54956,0.33585,0.91633,0.97815,1,0.995,0.85671,0.68066,0.32777,0.99597,0.000212757,0.000212757,0.000212757
51,4442.7,0.46327,0.30347,0.8396,0.97177,1,0.995,0.84936,0.68124,0.33597,0.99729,0.000194425,0.000194425,0.000194425
52,4523.81,0.47573,0.30231,0.86711,0.96844,1,0.995,0.84216,0.69475,0.33882,1.00173,0.000176094,0.000176094,0.000176094
53,4605.01,0.47376,0.29316,0.85143,0.96742,1,0.995,0.83418,0.69939,0.33324,1.00474,0.000157762,0.000157762,0.000157762
